make,model,year,rate,reviews,created,price
Mercedes-Benz,SLK-Class,2013,120.0,5,2014-11-18,36229.0
Acura,TL,2007,75.0,20,2013-05-10,15412.1666667
Audi,A5,2013,150.0,31,2012-12-26,33515.5
Volkswagen,Passat,2014,49.0,3,2015-03-10,18126.1136364
Jeep,Grand Cherokee,2008,67.0,11,2014-11-22,17107.1428571
BMW,X5,2008,100.0,14,2013-07-23,19165.5
Infiniti,G37,2009,99.0,0,2014-10-08,17417.8
Mercedes-Benz,E-Class,2010,325.0,0,2014-12-09,27004.5714286
Mazda,CX-5,2014,80.0,3,2014-09-14,20229.5714286
Honda,Civic,2015,75.0,2,2015-03-29,19920.5
Lexus,ES 350,2010,70.0,1,2014-09-06,20009.0
Ford,Mustang,2015,99.0,2,2015-04-10,None
Jeep,Wrangler,2013,115.0,10,2014-02-27,23545.1428571
Mercedes-Benz,M-Class,2007,95.0,0,2015-04-21,17568.25
Land Rover,Range Rover,2008,90.0,1,2015-03-17,26416.5
GMC,Yukon,2008,95.0,0,2015-03-17,19866.0
Nissan,Altima,2013,56.0,0,2015-04-28,16819.6666667
Toyota,Corolla,2012,55.0,3,2015-01-19,13655.2
Audi,Q5,2012,99.0,2,2014-11-22,28230.0
Volkswagen,Passat,2014,65.0,6,2014-11-11,18126.1136364
Audi,TT,2009,70.0,4,2014-04-15,20495.375
Lexus,LS 600h L,2008,125.0,0,2015-02-10,33005.0
BMW,3 Series,2008,44.0,6,2015-02-20,15469.3333333
Nissan,Altima,2010,56.0,13,2014-07-08,13636.2857143
Nissan,Altima,2015,150.0,0,2015-03-20,20559.75
Toyota,Prius c,2013,39.0,0,2015-04-12,16017.75
Honda,Accord,2007,65.0,9,2014-01-15,11041.7878788
Nissan,Altima,2015,200.0,0,2015-03-23,20559.75
BMW,4 Series,2015,279.0,3,2014-11-21,38530.9166667
Mercedes-Benz,M-Class,2011,105.0,2,2015-02-06,34180.3333333
Honda,Accord,2007,65.0,6,2014-01-20,11041.7878788
Maserati,Ghibli,2015,399.0,0,2015-02-23,None
Volkswagen,Passat,2013,100.0,0,2014-07-08,17019.5925926
Honda,Civic,2011,59.0,5,2015-01-06,14436.6969697
Honda,Civic,2011,40.0,0,2014-12-23,14436.6969697
Ford,Escape,2013,57.0,2,2014-10-20,19140.2857143
Toyota,Camry,2015,59.0,0,2015-02-13,23115.6666667
Infiniti,G Sedan,2013,104.0,0,2015-04-15,21439.3333333
Ford,Focus,2006,40.0,15,2014-09-06,5606.0
Jeep,Grand Cherokee,2008,72.0,0,2015-04-11,17107.1428571
Toyota,Camry,2012,60.0,1,2015-04-10,16687.1428571
Honda,CR-V,2010,49.0,0,2015-05-01,18880.875
Audi,A5,2013,200.0,0,2015-02-08,33515.5
Cadillac,Escalade,2009,100.0,7,2015-01-05,32400.75
Nissan,Pathfinder,2012,90.0,0,2015-01-03,23209.3333333
Nissan,Sentra,2011,59.0,0,2014-07-06,12674.2857143
Ford,Focus,2013,45.0,3,2015-04-08,13760.8333333
Mazda,CX-9,2014,90.0,0,2015-04-16,24440.6666667
Nissan,Rogue,2011,65.0,1,2015-03-06,15450.6666667
Infiniti,M37,2011,75.0,14,2014-10-23,25375.5
Hyundai,Sonata,2014,90.0,0,2015-02-10,17457.25
Dodge,Challenger,2012,75.0,16,2013-06-16,24727.3333333
Honda,Civic,2006,75.0,3,2015-01-18,9284.60869565
Honda,Accord,2012,50.0,1,2015-04-19,17802.4761905
Ford,Fusion,2014,70.0,2,2015-03-28,18421.0
Honda,Civic,2011,45.0,0,2015-02-07,14436.6969697
Infiniti,QX60,2015,99.0,0,2015-04-12,None
BMW,7 Series,2003,90.0,0,2015-04-20,10142.6666667
Toyota,4Runner,2005,75.0,0,2015-04-19,12060.0
Land Rover,Range Rover Evoque,2013,101.0,0,2015-04-24,38645.125
Toyota,Camry,2015,120.0,0,2015-04-28,23115.6666667
Mercedes-Benz,E-Class,2012,267.0,11,2013-07-23,34991.1875
Jeep,Wrangler,2012,59.0,4,2014-11-09,23275.1428571
Toyota,Sienna,2013,89.0,1,2015-01-13,24763.5
GMC,Acadia,2014,105.0,0,2015-03-22,31563.3
Honda,Pilot,2012,85.0,0,2014-10-25,26183.25
BMW,X1,2015,200.0,0,2015-04-14,27809.6666667
Volkswagen,Jetta,2015,59.0,2,2014-10-26,20353.90625
Mercedes-Benz,M-Class,2012,148.0,0,2015-04-15,44373.0
Jeep,Wrangler,2014,99.0,1,2014-08-09,24794.8571429
Volkswagen,Passat,2003,41.0,5,2014-11-02,5011.13636364
Honda,Accord,2012,50.0,0,2015-05-02,17802.4761905
Dodge,Challenger,2014,99.0,2,2014-12-07,27808.25
Mercedes-Benz,GLK-Class,2014,140.0,10,2014-03-10,29288.6666667
Dodge,Challenger,2014,75.0,6,2014-11-17,27808.25
Jaguar,X-Type,2004,35.0,5,2014-07-22,6054.0
BMW,3 Series,2009,80.0,12,2014-01-15,17532.9230769
Nissan,Altima,2014,66.0,4,2015-02-11,18408.0
Honda,CR-V,2012,72.0,23,2014-07-27,22646.3
Honda,Accord,2011,55.0,11,2014-06-14,16439.0952381
Cadillac,DTS,2007,39.0,5,2015-03-30,13110.25
Chevrolet,Malibu,2008,39.0,0,2015-04-30,10532.4
Audi,A4,2009,69.0,24,2014-04-28,18167.25
Toyota,Camry,2004,33.0,0,2015-04-15,7064.625
Land Rover,Range Rover,2006,80.0,0,2015-03-21,17594.5
Ford,F-150,2002,38.0,19,2013-07-01,6320.55
Mazda,MAZDA3,2012,45.0,8,2014-11-14,15169.2631579
Lexus,ES 300,2003,37.0,2,2015-03-26,8587.0
Volvo,S60,2005,29.0,1,2015-04-03,7113.2
Volvo,S80,2005,33.0,1,2015-04-09,7242.75
Mercedes-Benz,E-Class,2003,37.0,2,2015-01-03,9300.2
Acura,TSX,2010,55.0,0,2015-04-06,18729.8333333
Honda,Accord,2007,65.0,2,2014-01-11,11041.7878788
Chevrolet,Malibu,2008,39.0,6,2015-01-02,10532.4
Land Rover,Range Rover,2006,85.0,3,2015-03-09,17594.5
Audi,S5,2010,179.0,6,2014-05-07,30387.0
Honda,Odyssey,2007,49.0,2,2015-01-30,12851.2857143
Volkswagen,Jetta,2013,15.0,2,2014-11-06,14871.6296296
Mercedes-Benz,C-Class,2010,100.0,0,2015-03-24,21575.3333333
Scion,xB,2012,43.0,4,2013-05-18,14208.0
Nissan,Murano CrossCabriolet,2013,129.0,0,2015-02-17,27611.0
MINI,Cooper,2011,53.0,2,2015-03-06,16076.3333333
Toyota,Camry,2010,50.0,3,2015-03-16,14287.1
Mazda,MAZDA3,2012,25.0,1,2015-04-15,15169.2631579
MINI,Cooper,2013,48.0,0,2015-02-19,18196.6666667
Lexus,GS 350,2014,145.0,0,2015-02-12,36211.5
Honda,CR-V,1997,50.0,14,2013-03-25,3396.0
Toyota,Camry,2011,90.0,0,2015-04-23,15047.2
Toyota,Highlander,2014,99.0,0,2015-04-14,31751.6363636
Honda,Accord,2007,75.0,0,2015-04-23,11041.7878788
Nissan,Maxima,2014,86.0,0,2015-04-27,19948.0
Honda,CR-V,2008,80.0,0,2014-07-14,15635.25
Chrysler,300,2005,50.0,0,2015-04-19,8993.5
Nissan,Altima,2008,39.0,0,2015-04-22,10757.2
Mercedes-Benz,E-Class,2012,96.0,0,2015-04-30,34991.1875
Audi,A4,2009,67.0,0,2015-04-28,18167.25
Honda,CR-V,2014,55.0,0,2015-04-12,23643.0
Honda,CR-V,2014,55.0,0,2015-04-17,23643.0
BMW,7 Series,2012,159.0,0,2015-04-06,45449.1428571
Toyota,Corolla,2015,68.0,0,2015-03-26,16728.0
BMW,M4,2015,264.0,0,2015-04-11,61543.0
Volkswagen,Jetta,2012,65.0,0,2015-01-01,14591.5333333
Nissan,Rogue Select,2014,71.0,0,2015-04-16,16939.5
Mercury,Grand Marquis,2003,88.0,0,2015-05-03,5793.6
Toyota,Camry,2004,34.0,0,2015-01-29,7064.625
BMW,6 Series,2004,150.0,0,2015-04-16,15350.5
Dodge,Grand Caravan,2014,71.0,0,2014-07-11,17049.3333333
Jaguar,XF,2010,119.0,0,2015-03-16,29183.0
Tesla,Model S,2015,249.0,0,2015-04-11,None
Cadillac,ATS,2014,99.0,0,2015-04-08,26038.3125
Toyota,Highlander,2015,149.0,0,2015-04-08,None
Mercedes-Benz,C-Class,2003,75.0,1,2014-07-12,7071.35714286
Toyota,Camry Hybrid,2007,59.0,2,2014-08-18,11717.0
Mercedes-Benz,E-Class,2007,139.0,1,2014-08-14,18534.375
Porsche,Cayenne,2004,89.0,0,2014-08-18,14579.0
Dodge,Grand Caravan,2014,71.0,0,2014-12-30,17049.3333333
Audi,A4,2009,50.0,0,2015-03-23,18167.25
Hyundai,Santa Fe,2005,39.0,1,2015-02-26,8034.5
Dodge,Grand Caravan,2014,71.0,2,2014-12-02,17049.3333333
Nissan,Cube,2009,30.0,0,2014-02-06,10251.0
Ford,Escape,2014,56.0,0,2015-03-22,20093.6
Mercedes-Benz,G-Class,2011,550.0,0,2015-04-19,80738.0
Dodge,Grand Caravan,2010,55.0,6,2013-11-05,12484.6
Chevrolet,Cavalier,2003,42.0,3,2014-05-25,3785.66666667
Chevrolet,Cruze,2014,45.0,5,2014-04-02,14306.5
BMW,3 Series,2011,120.0,4,2014-05-25,23349.8
Mercedes-Benz,SLK-Class,2012,399.0,1,2014-05-28,35466.0
Honda,Accord,2011,45.0,0,2015-04-27,16439.0952381
Ford,Mustang,2007,89.0,0,2015-02-18,13235.0
Toyota,Sienna,2013,95.0,0,2015-04-28,24763.5
Honda,Accord,2004,39.0,0,2015-01-15,6989.23529412
Toyota,Prius,2005,45.0,6,2013-07-28,7661.0
Honda,Civic,2012,32.0,6,2012-12-04,16141.483871
Hyundai,Elantra,2008,35.0,0,2015-01-04,8235.83333333
Nissan,Pathfinder,2015,75.0,0,2015-04-04,30115.375
Toyota,Camry,2007,38.0,0,2015-04-19,10437.0
Nissan,Sentra,2014,45.0,0,2015-04-14,13749.8571429
Honda,Civic,2006,40.0,3,2015-03-25,9284.60869565
Acura,TL,2006,50.0,0,2015-04-21,13086.1666667
Hyundai,Sonata,2014,70.0,2,2015-02-10,17457.25
Toyota,Camry,2011,50.0,0,2015-04-30,15047.2
Ford,Fusion,2006,34.0,0,2015-04-14,6836.4
Ford,Fusion,2014,120.0,0,2015-05-01,18421.0
Honda,S2000,2006,89.0,1,2014-07-02,17906.0
Toyota,Corolla,2003,32.0,0,2015-03-15,5299.0
Chevrolet,Corvette,2015,227.0,0,2015-04-06,55693.4166667
Volkswagen,Passat,2014,64.0,0,2014-09-09,18126.1136364
