make,model,year,rate,reviews,created,price,days,reviews per day,profit per day,days to break even
Chevrolet,Malibu,2008,39,6,1/2/15,10532.4,127,0.047244094,1.842519685,5716.302564
Cadillac,Escalade,2009,100,7,1/5/15,32400.75,124,0.056451613,5.64516129,5739.561429
Ford,F-150,2002,38,19,7/1/13,6320.55,677,0.028064993,1.066469719,5926.609903
Honda,Civic,2011,59,5,1/6/15,14436.69697,123,0.040650407,2.398373984,6019.368567
Nissan,Altima,2014,66,4,2/11/15,18408,87,0.045977011,3.034482759,6066.272727
Audi,A5,2013,150,31,12/26/12,33515.5,864,0.03587963,5.381944444,6227.396129
Volvo,S80,2005,33,1,4/9/15,7242.75,30,0.033333333,1.1,6584.318182
Honda,Accord,2009,85,22,12/4/12,14490.08,886,0.0248307,2.110609481,6865.353412
Honda,Accord,2012,50,1,4/19/15,17802.47619,20,0.05,2.5,7120.990476
Volkswagen,Passat,2014,49,3,3/10/15,18126.11364,60,0.05,2.45,7398.413729
Mazda,MAZDA3,2012,45,8,11/14/14,15169.26316,176,0.045454545,2.045454545,7416.084211
Acura,TL,2007,75,20,5/10/13,15412.16667,729,0.027434842,2.057613169,7490.313
Audi,A5,2012,99,7,10/23/14,26358.25,198,0.035353535,3.5,7530.928571
BMW,4 Series,2015,279,3,11/21/14,38530.91667,169,0.017751479,4.952662722,7779.83861
Mercedes-Benz,E-Class,2012,267,11,7/23/13,34991.1875,655,0.016793893,4.483969466,7803.618595
Toyota,Camry,2012,60,1,4/10/15,16687.14286,29,0.034482759,2.068965517,8065.452381
Volkswagen,Passat,2014,65,6,11/11/14,18126.11364,179,0.033519553,2.17877095,8319.421387
BMW,3 Series,2009,80,12,1/15/14,17532.92308,479,0.025052192,2.004175365,8748.198077
Volvo,S60,2005,29,1,4/3/15,7113.2,36,0.027777778,0.805555556,8830.17931
Mercedes-Benz,GLK-Class,2014,140,10,3/10/14,29288.66667,425,0.023529412,3.294117647,8891.202381
Jeep,Wrangler,2013,115,10,2/27/14,23545.14286,436,0.02293578,2.637614679,8926.680248
Honda,Accord,2011,55,11,6/14/14,16439.09524,329,0.03343465,1.838905775,8939.607163
BMW,X5,2008,100,14,7/23/13,19165.5,655,0.021374046,2.13740458,8966.716071
Honda,Accord,2007,65,9,1/15/14,11041.78788,479,0.018789144,1.221294363,9041.053665
Toyota,Corolla,2012,55,3,1/19/15,13655.2,110,0.027272727,1.5,9103.466667
MINI,Cooper,2011,53,2,3/6/15,16076.33333,64,0.03125,1.65625,9706.465409
Jaguar,X-Type,2004,35,5,7/22/14,6054,291,0.017182131,0.60137457,10066.93714
Audi,S5,2010,179,6,5/7/14,30387,367,0.016348774,2.926430518,10383.63966
Mercedes-Benz,SLK-Class,2013,120,5,11/18/14,36229,172,0.029069767,3.488372093,10385.64667
Chevrolet,Cavalier,2003,42,3,5/25/14,3785.666667,349,0.008595989,0.361031519,10485.69577
Dodge,Challenger,2014,75,6,11/17/14,27808.25,173,0.034682081,2.601156069,10690.72722
Hyundai,Sonata,2014,70,2,2/10/15,17457.25,88,0.022727273,1.590909091,10973.12857
Mercedes-Benz,C-Class,2012,120,4,10/19/14,30709,202,0.01980198,2.376237624,12923.37083
Honda,Odyssey,2007,49,2,1/30/15,12851.28571,99,0.02020202,0.98989899,12982.42128
Honda,Accord,2007,65,6,1/20/14,11041.78788,474,0.012658228,0.82278481,13420.01911
Dodge,Challenger,2012,75,16,6/16/13,24727.33333,692,0.023121387,1.734104046,14259.42889
Mazda,MAZDA3,2012,25,1,4/15/15,15169.26316,24,0.041666667,1.041666667,14562.49263
Hyundai,Santa Fe,2005,39,1,2/26/15,8034.5,72,0.013888889,0.541666667,14832.92308
Mercedes-Benz,M-Class,2011,105,2,2/6/15,34180.33333,92,0.02173913,2.282608696,14974.24127
Nissan,Rogue,2011,65,1,3/6/15,15450.66667,64,0.015625,1.015625,15212.9641
Land Rover,Range Rover,2008,90,1,3/17/15,26416.5,53,0.018867925,1.698113208,15556.38333
Lexus,LS 460,2010,65,8,9/19/14,35287.5,232,0.034482759,2.24137931,15743.65385
Mercedes-Benz,E-Class,2003,37,2,1/3/15,9300.2,126,0.015873016,0.587301587,15835.47568
Mercedes-Benz,S-Class,2009,224,3,8/21/14,43007.4,261,0.011494253,2.574712644,16703.76696
BMW,3 Series,2011,120,4,5/25/14,23349.8,349,0.011461318,1.375358166,16977.25042
Jeep,Wrangler,2012,59,4,11/9/14,23275.14286,181,0.022099448,1.303867403,17850.85109
Infiniti,JX,2013,159,2,10/20/14,28621.5,201,0.009950249,1.582089552,18090.94811
Toyota,Prius,2005,45,6,7/28/13,7661,650,0.009230769,0.415384615,18443.14815
Dodge,Grand Caravan,2014,71,2,12/2/14,17049.33333,158,0.012658228,0.898734177,18970.38498
Mazda,CX-5,2014,80,3,9/14/14,20229.57143,237,0.012658228,1.012658228,19976.70179
Dodge,Grand Caravan,2010,55,6,11/5/13,12484.6,550,0.010909091,0.6,20807.66667
Dodge,Challenger,2014,99,2,12/7/14,27808.25,153,0.013071895,1.294117647,21488.19318
Audi,Q5,2012,99,2,11/22/14,28230,168,0.011904762,1.178571429,23952.72727
Chevrolet,Cruze,2014,45,5,4/2/14,14306.5,402,0.012437811,0.559701493,25560.94667
Toyota,Camry Hybrid,2007,59,2,8/18/14,11717,264,0.007575758,0.446969697,26214.30508
Mercedes-Benz,C-Class,2003,75,1,7/12/14,7071.357143,301,0.003322259,0.249169435,28379.71333
Audi,TT,2009,70,4,4/15/14,20495.375,389,0.010282776,0.719794344,28473.9317
Mercedes-Benz,SLK-Class,2012,399,1,5/28/14,35466,346,0.002890173,1.153179191,30754.97744
Toyota,Sienna,2013,89,1,1/13/15,24763.5,116,0.00862069,0.767241379,32276.02247
Volkswagen,Jetta,2015,59,2,10/26/14,20353.90625,195,0.01025641,0.605128205,33635.69253
Ford,Escape,2013,57,2,10/20/14,19140.28571,201,0.009950249,0.567164179,33747.34586
Mercedes-Benz,E-Class,2007,139,1,8/14/14,18534.375,268,0.003731343,0.518656716,35735.34173
Honda,Accord,2007,65,2,1/11/14,11041.78788,483,0.004140787,0.269151139,41024.48881
Scion,xB,2012,43,4,5/18/13,14208,721,0.00554785,0.238557559,59557.95349
Honda,S2000,2006,89,1,7/2/14,17906,311,0.003215434,0.286173633,62570.40449
Jeep,Wrangler,2014,99,1,8/9/14,24794.85714,273,0.003663004,0.362637363,68373.69697
Lexus,ES 350,2010,70,1,9/6/14,20009,245,0.004081633,0.285714286,70031.5
Honda,Civic,2012,32,6,12/4/12,16141.48387,886,0.006772009,0.216704289,74486.22245
Volkswagen,Jetta,2013,15,2,11/6/14,14871.62963,184,0.010869565,0.163043478,91212.66173
Ford,Mustang,2015,99,2,4/10/15,None,29,0.068965517,6.827586207,#VALUE!
Audi,A7,2015,260,1,3/29/15,None,41,0.024390244,6.341463415,#VALUE!
Volvo,C70,2004,55,0,3/28/15,7448.5,42,0,0,#DIV/0!
Land Rover,Range Rover Sport,2011,139,0,4/22/15,41547.5,17,0,0,#DIV/0!
Saab,3-Sep,2007,59,0,4/29/15,10430.83333,10,0,0,#DIV/0!
Toyota,Prius,2008,49,0,4/22/15,11664,17,0,0,#DIV/0!
Cadillac,SRX,2005,59,0,4/18/15,9572.5,21,0,0,#DIV/0!
Honda,Accord,2005,32,0,4/21/15,8375.536585,18,0,0,#DIV/0!
Ford,Transit Connect,2014,73,0,4/28/15,18458.13333,11,0,0,#DIV/0!
Lexus,IS 250,2006,117,0,2/8/15,13465,90,0,0,#DIV/0!
Porsche,Boxster,2003,155,0,1/17/15,14284,112,0,0,#DIV/0!
Mercedes-Benz,C-Class,2010,60,0,4/29/15,21575.33333,10,0,0,#DIV/0!
Infiniti,G37,2009,99,0,10/8/14,17417.8,213,0,0,#DIV/0!
Mercedes-Benz,E-Class,2010,325,0,12/9/14,27004.57143,151,0,0,#DIV/0!
Mercedes-Benz,M-Class,2007,95,0,4/21/15,17568.25,18,0,0,#DIV/0!
GMC,Yukon,2008,95,0,3/17/15,19866,53,0,0,#DIV/0!
Nissan,Altima,2013,56,0,4/28/15,16819.66667,11,0,0,#DIV/0!
Lexus,LS 600h L,2008,125,0,2/10/15,33005,88,0,0,#DIV/0!
Nissan,Altima,2015,150,0,3/20/15,20559.75,50,0,0,#DIV/0!
Toyota,Prius c,2013,39,0,4/12/15,16017.75,27,0,0,#DIV/0!
Nissan,Altima,2015,200,0,3/23/15,20559.75,47,0,0,#DIV/0!
Maserati,Ghibli,2015,399,0,2/23/15,None,75,0,0,#VALUE!
Volkswagen,Passat,2013,100,0,7/8/14,17019.59259,305,0,0,#DIV/0!
Honda,Civic,2011,40,0,12/23/14,14436.69697,137,0,0,#DIV/0!
Toyota,Camry,2015,59,0,2/13/15,23115.66667,85,0,0,#DIV/0!
Infiniti,G Sedan,2013,104,0,4/15/15,21439.33333,24,0,0,#DIV/0!
Jeep,Grand Cherokee,2008,72,0,4/11/15,17107.14286,28,0,0,#DIV/0!
Honda,CR-V,2010,49,0,5/1/15,18880.875,8,0,0,#DIV/0!
Audi,A5,2013,200,0,2/8/15,33515.5,90,0,0,#DIV/0!
Nissan,Pathfinder,2012,90,0,1/3/15,23209.33333,126,0,0,#DIV/0!
Nissan,Sentra,2011,59,0,7/6/14,12674.28571,307,0,0,#DIV/0!
Mazda,CX-9,2014,90,0,4/16/15,24440.66667,23,0,0,#DIV/0!
Hyundai,Sonata,2014,90,0,2/10/15,17457.25,88,0,0,#DIV/0!
Honda,Civic,2011,45,0,2/7/15,14436.69697,91,0,0,#DIV/0!
Infiniti,QX60,2015,99,0,4/12/15,None,27,0,0,#VALUE!
BMW,7 Series,2003,90,0,4/20/15,10142.66667,19,0,0,#DIV/0!
Toyota,4Runner,2005,75,0,4/19/15,12060,20,0,0,#DIV/0!
Land Rover,Range Rover Evoque,2013,101,0,4/24/15,38645.125,15,0,0,#DIV/0!
Toyota,Camry,2015,120,0,4/28/15,23115.66667,11,0,0,#DIV/0!
GMC,Acadia,2014,105,0,3/22/15,31563.3,48,0,0,#DIV/0!
Honda,Pilot,2012,85,0,10/25/14,26183.25,196,0,0,#DIV/0!
BMW,X1,2015,200,0,4/14/15,27809.66667,25,0,0,#DIV/0!
Mercedes-Benz,M-Class,2012,148,0,4/15/15,44373,24,0,0,#DIV/0!
Honda,Accord,2012,50,0,5/2/15,17802.47619,7,0,0,#DIV/0!
Chevrolet,Malibu,2008,39,0,4/30/15,10532.4,9,0,0,#DIV/0!
Toyota,Camry,2004,33,0,4/15/15,7064.625,24,0,0,#DIV/0!
Land Rover,Range Rover,2006,80,0,3/21/15,17594.5,49,0,0,#DIV/0!
Acura,TSX,2010,55,0,4/6/15,18729.83333,33,0,0,#DIV/0!
Mercedes-Benz,C-Class,2010,100,0,3/24/15,21575.33333,46,0,0,#DIV/0!
Nissan,Murano CrossCabriolet,2013,129,0,2/17/15,27611,81,0,0,#DIV/0!
MINI,Cooper,2013,48,0,2/19/15,18196.66667,79,0,0,#DIV/0!
Lexus,GS 350,2014,145,0,2/12/15,36211.5,86,0,0,#DIV/0!
Toyota,Camry,2011,90,0,4/23/15,15047.2,16,0,0,#DIV/0!
Toyota,Highlander,2014,99,0,4/14/15,31751.63636,25,0,0,#DIV/0!
Honda,Accord,2007,75,0,4/23/15,11041.78788,16,0,0,#DIV/0!
Nissan,Maxima,2014,86,0,4/27/15,19948,12,0,0,#DIV/0!
Honda,CR-V,2008,80,0,7/14/14,15635.25,299,0,0,#DIV/0!
Chrysler,300,2005,50,0,4/19/15,8993.5,20,0,0,#DIV/0!
Nissan,Altima,2008,39,0,4/22/15,10757.2,17,0,0,#DIV/0!
Mercedes-Benz,E-Class,2012,96,0,4/30/15,34991.1875,9,0,0,#DIV/0!
Audi,A4,2009,67,0,4/28/15,18167.25,11,0,0,#DIV/0!
Honda,CR-V,2014,55,0,4/12/15,23643,27,0,0,#DIV/0!
Honda,CR-V,2014,55,0,4/17/15,23643,22,0,0,#DIV/0!
BMW,7 Series,2012,159,0,4/6/15,45449.14286,33,0,0,#DIV/0!
Toyota,Corolla,2015,68,0,3/26/15,16728,44,0,0,#DIV/0!
BMW,M4,2015,264,0,4/11/15,61543,28,0,0,#DIV/0!
Volkswagen,Jetta,2012,65,0,1/1/15,14591.53333,128,0,0,#DIV/0!
Nissan,Rogue Select,2014,71,0,4/16/15,16939.5,23,0,0,#DIV/0!
Mercury,Grand Marquis,2003,88,0,5/3/15,5793.6,6,0,0,#DIV/0!
Toyota,Camry,2004,34,0,1/29/15,7064.625,100,0,0,#DIV/0!
BMW,6 Series,2004,150,0,4/16/15,15350.5,23,0,0,#DIV/0!
Dodge,Grand Caravan,2014,71,0,7/11/14,17049.33333,302,0,0,#DIV/0!
Jaguar,XF,2010,119,0,3/16/15,29183,54,0,0,#DIV/0!
Tesla,Model S,2015,249,0,4/11/15,None,28,0,0,#VALUE!
Cadillac,ATS,2014,99,0,4/8/15,26038.3125,31,0,0,#DIV/0!
Toyota,Highlander,2015,149,0,4/8/15,None,31,0,0,#VALUE!
Porsche,Cayenne,2004,89,0,8/18/14,14579,264,0,0,#DIV/0!
Dodge,Grand Caravan,2014,71,0,12/30/14,17049.33333,130,0,0,#DIV/0!
Audi,A4,2009,50,0,3/23/15,18167.25,47,0,0,#DIV/0!
Nissan,Cube,2009,30,0,2/6/14,10251,457,0,0,#DIV/0!
Ford,Escape,2014,56,0,3/22/15,20093.6,48,0,0,#DIV/0!
Mercedes-Benz,G-Class,2011,550,0,4/19/15,80738,20,0,0,#DIV/0!
Honda,Accord,2011,45,0,4/27/15,16439.09524,12,0,0,#DIV/0!
Ford,Mustang,2007,89,0,2/18/15,13235,80,0,0,#DIV/0!
Toyota,Sienna,2013,95,0,4/28/15,24763.5,11,0,0,#DIV/0!
Honda,Accord,2004,39,0,1/15/15,6989.235294,114,0,0,#DIV/0!
Hyundai,Elantra,2008,35,0,1/4/15,8235.833333,125,0,0,#DIV/0!
Nissan,Pathfinder,2015,75,0,4/4/15,30115.375,35,0,0,#DIV/0!
Toyota,Camry,2007,38,0,4/19/15,10437,20,0,0,#DIV/0!
Nissan,Sentra,2014,45,0,4/14/15,13749.85714,25,0,0,#DIV/0!
Acura,TL,2006,50,0,4/21/15,13086.16667,18,0,0,#DIV/0!
Toyota,Camry,2011,50,0,4/30/15,15047.2,9,0,0,#DIV/0!
Ford,Fusion,2006,34,0,4/14/15,6836.4,25,0,0,#DIV/0!
Ford,Fusion,2014,120,0,5/1/15,18421,8,0,0,#DIV/0!
Toyota,Corolla,2003,32,0,3/15/15,5299,55,0,0,#DIV/0!
Chevrolet,Corvette,2015,227,0,4/6/15,55693.41667,33,0,0,#DIV/0!
Volkswagen,Passat,2014,64,0,9/9/14,18126.11364,242,0,0,#DIV/0!
