make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Honda,Accord,2012,42,None,0,1,11/12/15 3:55,Las Vegas,NV,0.122633129,15926.19048,31,0.032258065,1.35483871,11755.04535
Lexus,GS 350,2015,107,5,3,7,2/12/15 0:54,Las Vegas,NV,12.79165173,39220,304,0.023026316,2.463815789,15918.39786
BMW,5 Series,2015,112,None,0,1,11/1/15 15:01,Las Vegas,NV,0.069548689,44219.625,41,0.024390244,2.731707317,16187.54129
BMW,3 Series,2012,78,5,1,2,7/17/15 17:08,Las Vegas,NV,8.44199276,24519.58333,148,0.013513514,1.054054054,23262.1688
FIAT,500,2013,42,5,2,2,5/21/15 13:13,North Las Vegas,NV,5.810892105,10601.625,206,0.009708738,0.40776699,25999.22321
FIAT,500e,2013,50,4.8571,7,7,6/27/14 2:30,Las Vegas,NV,9.663928986,19038,534,0.013108614,0.655430712,29046.54857
Toyota,Prius,2013,64,5,2,3,1/25/15 13:07,Las Vegas,NV,4.885053158,17850,322,0.00931677,0.596273292,29935.9375
Mercedes-Benz,C-Class,2013,114,5,1,1,6/26/15 4:28,Las Vegas,NV,6.578973293,26614.6,170,0.005882353,0.670588235,39688.4386
BMW,6 Series,2013,201,5,2,2,10/1/14 4:41,Las Vegas,NV,4.871789932,47280.16667,438,0.00456621,0.917808219,51514.21144
Dodge,Ram Pickup 1500,2005,32,None,0,0,10/19/15 18:40,Las Vegas,NV,2.785246134,10703.33333,54,0,0,None
Ford,F-150,2015,127,None,0,0,11/15/15 21:17,North Las Vegas,NV,7.878892422,29685.075,27,0,0,None
Jeep,Grand Cherokee SRT,2015,261,None,0,0,9/1/15 15:54,Las Vegas ,NV,5.820199966,53454,102,0,0,None
Kia,Optima,2008,26,None,0,0,12/12/15 16:08,Las Vegas,NV,6.569236279,7933,0,None,None,None
Toyota,Prius,2015,49,None,0,0,12/11/15 2:30,Las Vegas,NV,9.460897446,21118.8,2,0,0,None
Toyota,Tundra,2014,39,None,0,0,10/29/15 13:00,Las Vegas,NV,5.080462456,30677.34211,45,0,0,None
Lexus,RC 350,2015,51,None,0,0,10/30/15 2:16,Las Vegas,NV,5.7510252,33115,44,0,0,None
HUMMER,H1,2004,266,None,0,0,2/19/15 3:06,Las Vegas,NV,6.892484665,44482,297,0,0,None
Audi,A5,2013,67,None,0,0,11/20/15 10:34,Henderson,NV,7.894289494,29544.08333,23,0,0,None
Ford,Explorer,2014,45,None,0,0,11/25/15 15:37,las vegas,NV,8.392458916,25548.85714,17,0,0,None
GMC,Sierra 2500HD,2004,150,None,0,0,11/5/15 13:44,henderson,NV,10.13575745,11335.28947,37,0,0,None
Land Rover,Range Rover Sport,2014,299,None,0,0,11/2/15 20:31,Las Vegas,NV,10.28360748,58879.375,40,0,0,None
Chrysler,300,2015,120,None,0,0,11/26/15 17:15,Las vegas,NV,10.88283348,26811.125,16,0,0,None
Chrysler,Town and Country,2014,67,None,0,0,12/5/15 17:16,Las Vegas,NV,11.89818192,22075.25,7,0,0,None
